# All signatures that are selectable
# SDE export does not contain this information, sources include Pathfinder and also
#   https://wiki.eveuniversity.org/Wormhole_sites
# SignatureGroup;Name;WormholeClass,...
Combat;Perimeter Ambush Point;C1
Combat;Perimeter Camp;C1
Combat;Phase Catalyst Node;C1
Combat;The Line;C1
Combat;Perimeter Checkpoint;C2
Combat;Perimeter Hangar;C2
Combat;The Ruins of Enclave Cohort 27;C2
Combat;Sleeper Data Sanctuary;C2
Combat;Fortification Frontier Stronghold;C3
Combat;Outpost Frontier Stronghold;C3
Combat;Solar Cell;C3
Combat;The Oruze Construct;C3
Combat;Frontier Barracks;C4
Combat;Frontier Command Post;C4
Combat;Integrated Terminus;C4
Combat;Sleeper Information Sanctum;C4
Combat;Core Garrison;C5
Combat;Core Stronghold;C5
Combat;Oruze Osobnyk;C5
Combat;Quarantine Area;C5
Combat;Core Citadel;C6
Combat;Core Bastion;C6
Combat;Strange Energy Readings;C6
Combat;The Mirror;C6
Combat;Epicenter;Thera,ShatteredFrig
Combat;Expedition Command Outpost Wreck;Thera,ShatteredFrig
Combat;Planetary Colonization Office Wreck;Thera,ShatteredFrig
Combat;Testing Facilities;Thera,ShatteredFrig
Combat;Monolith;SentinelDrifter
Combat;Wormhole in Rock Circle;SentinelDrifter
Combat;Opposing Spatial Rifts;SentinelDrifter
Combat;Sleeper Enclave Debris;SentinelDrifter
Combat;Crystal Resource;SentinelDrifter
Combat;Wrecked Ships;BarbicanDrifter
Combat;Unstable Wormhole;BarbicanDrifter
Combat;Spatial Rift;BarbicanDrifter
Combat;Heavily Guarded Spatial Rift;BarbicanDrifter
Combat;Crystals;BarbicanDrifter
Combat;Ship Graveyard;VidetteDrifter
Combat;Sleeper Engineering Station;VidetteDrifter
Combat;Spatial Rift;VidetteDrifter
Combat;Sleeper Enclave in Coral Rock;VidetteDrifter
Combat;Crystals and Stone Circle;VidetteDrifter
Combat;Monolith;ConfluxDrifter
Combat;Caged Wormhole;ConfluxDrifter
Combat;Rock Formation and Wormhole;ConfluxDrifter
Combat;Particle Acceleration Array;ConfluxDrifter
Combat;Guarded Asteroid Station;ConfluxDrifter
Combat;Ship Graveyard;RedoubtDrifter
Combat;Caged Wormhole;RedoubtDrifter
Combat;Spatial Rift Generator;RedoubtDrifter
Combat;Sleeper Enclave;RedoubtDrifter
Combat;Hollow Asteroid;RedoubtDrifter
Relic;Forgotten Perimeter Coronation Platform;C1
Relic;Forgotten Perimeter Power Array;C1
Relic;Forgotten Perimeter Gateway;C2
Relic;Forgotten Perimeter Habitation Coils;C2
Relic;Forgotten Frontier Quarantine Outpost;C3
Relic;Forgotten Frontier Recursive Depot;C3
Relic;Forgotten Frontier Conversion Module;C4
Relic;Forgotten Frontier Evacuation Center;C4
Relic;Forgotten Core Data Field;C5
Relic;Forgotten Core Information Pen;C5
Relic;Forgotten Core Assembly Hall;C6
Relic;Forgotten Core Circuitry Disassembler;C6
Relic;Ancient Ruins;NS
Relic;Bloated Ruins;NS
Relic;Crumbling Ruins;NS
Relic;Festering Ruins;NS
Relic;Forgotten Ruins;NS
Relic;Hidden Ruins;NS
Relic;Wispy Ruins;NS
Relic;Ruined Angel Crystal Quarry;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Angel Monument Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Angel Science Outpost;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Angel Temple Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Blood Raider Crystal Quarry;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Blood Raider Monument Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Blood Raider Science Outpost;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Blood Raider Temple Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Guristas Crystal Quarry;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Guristas Monument Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Guristas Science Outpost;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Guristas Temple Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Sansha Crystal Quarry;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Sansha Monument Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Sansha Science Outpost;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Sansha Temple Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Serpentis Crystal Quarry;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Serpentis Monument Site;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Serpentis Science Outpost;NS,C1,C2,C3,ShatteredFrig
Relic;Ruined Serpentis Temple Site;NS,C1,C2,C3,ShatteredFrig
Relic;Decayed Angel Excavation;L
Relic;Decayed Angel Particle Accelerator;L
Relic;Decayed Angel Collision Site;L
Relic;Decayed Angel Mass Grave;L
Relic;Decayed Angel Lone Vessel;L
Relic;Decayed Angel Rock Formation;L
Relic;Decayed Angel Mining Installation;L
Relic;Decayed Angel Quarry;L
Relic;Decayed Blood Raider Excavation;L
Relic;Decayed Blood Raider Particle Accelerator;L
Relic;Decayed Blood Raider Collision Site;L
Relic;Decayed Blood Raider Mass Grave;L
Relic;Decayed Blood Raider Lone Vessel;L
Relic;Decayed Blood Raider Rock Formation;L
Relic;Decayed Blood Raider Mining Installation;L
Relic;Decayed Blood Raider Quarry;L
Relic;Decayed Guristas Excavation;L
Relic;Decayed Guristas Particle Accelerator;L
Relic;Decayed Guristas Collision Site;L
Relic;Decayed Guristas Mass Grave;L
Relic;Decayed Guristas Lone Vessel;L
Relic;Decayed Guristas Rock Formation;L
Relic;Decayed Guristas Mining Installation;L
Relic;Decayed Guristas Quarry;L
Relic;Decayed Sansha Excavation;L
Relic;Decayed Sansha Particle Accelerator;L
Relic;Decayed Sansha Collision Site;L
Relic;Decayed Sansha Mass Grave;L
Relic;Decayed Sansha Lone Vessel;L
Relic;Decayed Sansha Rock Formation;L
Relic;Decayed Sansha Mining Installation;L
Relic;Decayed Sansha Quarry;L
Relic;Decayed Serpentis Excavation;L
Relic;Decayed Serpentis Particle Accelerator;L
Relic;Decayed Serpentis Collision Site;L
Relic;Decayed Serpentis Mass Grave;L
Relic;Decayed Serpentis Lone Vessel;L
Relic;Decayed Serpentis Rock Formation;L
Relic;Decayed Serpentis Mining Installation;L
Relic;Decayed Serpentis Quarry;L
Relic;Crumbling Angel Antiquated Outpost;H
Relic;Crumbling Angel Excavation;H
Relic;Crumbling Angel Crystal Quarry;H
Relic;Crumbling Angel Solar Harvesters;H
Relic;Crumbling Angel Explosive Debris;H
Relic;Crumbling Angel Stone Formation;H
Relic;Crumbling Angel Abandoned Colony;H
Relic;Crumbling Angel Mining Installation;H
Relic;Crumbling Blood Raider Antiquated Outpost;H
Relic;Crumbling Blood Raider Excavation;H
Relic;Crumbling Blood Raider Crystal Quarry;H
Relic;Crumbling Blood Raider Solar Harvesters;H
Relic;Crumbling Blood Raider Explosive Debris;H
Relic;Crumbling Blood Raider Stone Formation;H
Relic;Crumbling Blood Raider Abandoned Colony;H
Relic;Crumbling Blood Raider Mining Installation;H
Relic;Crumbling Guristas Antiquated Outpost;H
Relic;Crumbling Guristas Excavation;H
Relic;Crumbling Guristas Crystal Quarry;H
Relic;Crumbling Guristas Solar Harvesters;H
Relic;Crumbling Guristas Explosive Debris;H
Relic;Crumbling Guristas Stone Formation;H
Relic;Crumbling Guristas Abandoned Colony;H
Relic;Crumbling Guristas Mining Installation;H
Relic;Crumbling Sansha Antiquated Outpost;H
Relic;Crumbling Sansha Excavation;H
Relic;Crumbling Sansha Crystal Quarry;H
Relic;Crumbling Sansha Solar Harvesters;H
Relic;Crumbling Sansha Explosive Debris;H
